Id,label
20001,2
20002,4
20003,4
20004,4
20005,4
20006,4
20007,4
20008,4
20009,5
20010,5
20011,4
20012,4
20013,5
20014,3
20015,4
20016,4
20017,5
20018,4
20019,4
20020,5
20021,4
20022,5
20023,4
20024,4
20025,4
20026,4
20027,4
20028,2
20029,4
20030,2
20031,5
20032,2
20033,2
20034,4
20035,2
20036,4
20037,4
20038,5
20039,2
20040,2
20041,4
20042,2
20043,4
20044,5
20045,4
20046,2
20047,5
20048,4
20049,4
20050,4
20051,4
20052,3
20053,4
20054,4
20055,4
20056,4
20057,4
20058,3
20059,4
20060,5
20061,2
20062,4
20063,4
20064,3
20065,4
20066,3
20067,5
20068,5
20069,5
20070,4
20071,4
20072,5
20073,5
20074,4
20075,4
20076,3
20077,5
20078,5
20079,4
20080,4
20081,4
20082,4
20083,4
20084,5
20085,5
20086,4
20087,4
20088,4
20089,4
20090,4
20091,4
20092,4
20093,2
20094,2
20095,4
20096,3
20097,3
20098,4
20099,4
20100,4
20101,4
20102,4
20103,2
20104,2
20105,4
20106,4
20107,4
20108,4
20109,4
20110,5
20111,2
20112,4
20113,5
20114,4
20115,3
20116,5
20117,4
20118,2
20119,4
20120,4
20121,4
20122,4
20123,4
20124,4
20125,3
20126,4
20127,4
20128,4
20129,4
20130,4
20131,2
20132,5
20133,4
20134,4
20135,4
20136,2
20137,4
20138,4
20139,2
20140,4
20141,2
20142,2
20143,5
20144,4
20145,4
20146,4
20147,3
20148,4
20149,2
20150,4
20151,4
20152,4
20153,4
20154,2
20155,4
20156,5
20157,4
20158,2
20159,5
20160,3
20161,2
20162,4
20163,4
20164,4
20165,4
20166,5
20167,4
20168,4
20169,4
20170,4
20171,4
20172,3
20173,4
20174,5
20175,4
20176,4
20177,4
20178,2
20179,4
20180,5
20181,4
20182,2
20183,5
20184,5
20185,5
20186,3
20187,4
20188,2
20189,4
20190,5
20191,5
20192,5
20193,5
20194,4
20195,4
20196,5
20197,4
20198,5
20199,4
20200,2
20201,5
20202,4
20203,2
20204,4
20205,4
20206,4
20207,3
20208,4
20209,4
20210,4
20211,4
20212,5
20213,4
20214,4
20215,4
20216,2
20217,5
20218,5
20219,4
20220,5
20221,5
20222,5
20223,4
20224,4
20225,5
20226,4
20227,2
20228,3
20229,4
20230,5
20231,4
20232,4
20233,4
20234,4
20235,5
20236,3
20237,5
20238,2
20239,4
20240,5
20241,5
20242,5
20243,5
20244,2
20245,4
20246,4
20247,2
20248,3
20249,4
20250,2
20251,4
