Id,label
20001,2
20002,4
20003,4
20004,4
20005,5
20006,4
20007,4
20008,4
20009,5
20010,4
20011,4
20012,4
20013,5
20014,2
20015,4
20016,2
20017,5
20018,4
20019,5
20020,5
20021,5
20022,4
20023,4
20024,4
20025,4
20026,4
20027,4
20028,3
20029,3
20030,2
20031,4
20032,2
20033,2
20034,4
20035,4
20036,4
20037,3
20038,4
20039,3
20040,2
20041,4
20042,2
20043,4
20044,4
20045,4
20046,4
20047,5
20048,4
20049,4
20050,3
20051,4
20052,4
20053,4
20054,5
20055,4
20056,4
20057,4
20058,4
20059,4
20060,5
20061,4
20062,4
20063,4
20064,3
20065,4
20066,2
20067,5
20068,5
20069,5
20070,4
20071,4
20072,4
20073,4
20074,2
20075,3
20076,2
20077,5
20078,5
20079,4
20080,2
20081,4
20082,4
20083,4
20084,5
20085,4
20086,4
20087,4
20088,4
20089,5
20090,3
20091,4
20092,4
20093,3
20094,2
20095,2
20096,3
20097,3
20098,4
20099,3
20100,4
20101,4
20102,4
20103,3
20104,4
20105,3
20106,4
20107,4
20108,5
20109,4
20110,4
20111,4
20112,4
20113,4
20114,4
20115,2
20116,4
20117,4
20118,2
20119,4
20120,4
20121,4
20122,3
20123,4
20124,4
20125,3
20126,4
20127,4
20128,4
20129,3
20130,4
20131,3
20132,4
20133,4
20134,4
20135,4
20136,4
20137,4
20138,2
20139,2
20140,4
20141,4
20142,2
20143,4
20144,4
20145,5
20146,4
20147,4
20148,4
20149,4
20150,4
20151,3
20152,4
20153,3
20154,3
20155,4
20156,5
20157,4
20158,2
20159,4
20160,3
20161,4
20162,2
20163,4
20164,4
20165,4
20166,4
20167,4
20168,4
20169,4
20170,5
20171,4
20172,4
20173,4
20174,5
20175,4
20176,4
20177,4
20178,2
20179,5
20180,5
20181,4
20182,4
20183,4
20184,5
20185,4
20186,4
20187,3
20188,4
20189,4
20190,5
20191,5
20192,5
20193,4
20194,4
20195,4
20196,4
20197,4
20198,5
20199,4
20200,4
20201,5
20202,4
20203,2
20204,4
20205,4
20206,3
20207,4
20208,4
20209,4
20210,4
20211,3
20212,4
20213,4
20214,4
20215,4
20216,4
20217,5
20218,4
20219,4
20220,4
20221,4
20222,5
20223,4
20224,4
20225,5
20226,4
20227,2
20228,2
20229,4
20230,4
20231,2
20232,4
20233,4
20234,4
20235,4
20236,3
20237,5
20238,4
20239,4
20240,4
20241,5
20242,5
20243,4
20244,2
20245,4
20246,4
20247,3
20248,2
20249,4
20250,2
20251,2
