Id,label
20001,3
20002,4
20003,5
20004,4
20005,5
20006,2
20007,4
20008,4
20009,5
20010,5
20011,4
20012,5
20013,5
20014,2
20015,4
20016,2
20017,5
20018,4
20019,4
20020,4
20021,5
20022,4
20023,4
20024,4
20025,4
20026,4
20027,4
20028,2
20029,2
20030,4
20031,4
20032,4
20033,3
20034,4
20035,3
20036,5
20037,4
20038,4
20039,3
20040,2
20041,4
20042,2
20043,4
20044,4
20045,4
20046,4
20047,5
20048,4
20049,4
20050,3
20051,5
20052,4
20053,3
20054,4
20055,4
20056,3
20057,4
20058,4
20059,5
20060,5
20061,4
20062,4
20063,4
20064,2
20065,4
20066,4
20067,5
20068,5
20069,4
20070,4
20071,5
20072,5
20073,4
20074,2
20075,3
20076,3
20077,5
20078,5
20079,4
20080,4
20081,4
20082,3
20083,4
20084,4
20085,5
20086,5
20087,4
20088,4
20089,4
20090,4
20091,4
20092,4
20093,2
20094,2
20095,3
20096,3
20097,2
20098,4
20099,4
20100,5
20101,3
20102,3
20103,2
20104,4
20105,4
20106,4
20107,5
20108,4
20109,5
20110,5
20111,4
20112,4
20113,3
20114,4
20115,3
20116,4
20117,4
20118,3
20119,4
20120,4
20121,4
20122,5
20123,2
20124,4
20125,4
20126,4
20127,3
20128,2
20129,3
20130,4
20131,4
20132,4
20133,4
20134,4
20135,4
20136,4
20137,4
20138,2
20139,3
20140,4
20141,3
20142,2
20143,4
20144,4
20145,4
20146,5
20147,4
20148,5
20149,3
20150,4
20151,2
20152,4
20153,4
20154,3
20155,4
20156,5
20157,4
20158,2
20159,4
20160,4
20161,4
20162,2
20163,3
20164,4
20165,4
20166,4
20167,4
20168,4
20169,4
20170,5
20171,4
20172,4
20173,4
20174,5
20175,4
20176,4
20177,4
20178,3
20179,4
20180,5
20181,5
20182,4
20183,4
20184,5
20185,4
20186,3
20187,3
20188,4
20189,4
20190,5
20191,4
20192,5
20193,4
20194,4
20195,4
20196,4
20197,4
20198,5
20199,4
20200,4
20201,4
20202,4
20203,2
20204,4
20205,4
20206,2
20207,3
20208,4
20209,3
20210,4
20211,4
20212,4
20213,4
20214,4
20215,3
20216,3
20217,5
20218,4
20219,4
20220,4
20221,4
20222,5
20223,4
20224,3
20225,5
20226,4
20227,3
20228,3
20229,4
20230,5
20231,3
20232,4
20233,4
20234,5
20235,4
20236,2
20237,4
20238,4
20239,3
20240,4
20241,5
20242,4
20243,5
20244,3
20245,4
20246,4
20247,2
20248,3
20249,4
20250,4
20251,2
20252,4
20253,5
20254,5
20255,4
20256,4
20257,4
20258,5
20259,3
20260,4
20261,4
20262,5
20263,5
20264,3
20265,3
20266,4
20267,3
20268,2
20269,5
20270,4
20271,5
20272,4
20273,4
20274,4
20275,5
20276,3
20277,4
20278,1
20279,5
20280,5
20281,4
20282,5
20283,3
20284,4
20285,4
20286,2
20287,4
20288,2
20289,4
20290,4
20291,4
20292,4
20293,4
20294,4
20295,4
