Id,label
20001,3
20002,3
20003,3
20004,3
20005,2
20006,3
20007,3
20008,2
20009,3
20010,4
20011,3
20012,3
20013,4
20014,2
20015,4
20016,1
20017,4
20018,2
20019,4
20020,4
20021,4
20022,4
20023,3
20024,3
20025,3
20026,3
20027,3
20028,1
20029,2
20030,1
20031,4
20032,2
20033,1
20034,3
20035,1
20036,4
20037,2
20038,4
20039,1
20040,1
20041,4
20042,1
20043,3
20044,4
20045,3
20046,2
20047,4
20048,4
20049,4
20050,3
20051,3
20052,3
20053,4
20054,4
20055,4
20056,3
20057,4
20058,3
20059,3
20060,4
20061,2
20062,4
20063,4
20064,2
20065,3
20066,3
20067,4
20068,4
20069,4
20070,3
20071,1
20072,4
20073,4
20074,3
20075,3
20076,1
20077,4
20078,4
20079,3
20080,3
20081,3
20082,3
20083,3
20084,4
20085,4
20086,4
20087,3
20088,3
20089,3
20090,3
20091,3
20092,4
20093,1
20094,2
20095,3
20096,3
20097,1
20098,4
20099,3
20100,4
20101,3
20102,3
20103,1
20104,3
20105,3
20106,4
20107,3
20108,4
20109,4
20110,4
20111,2
20112,3
20113,4
20114,4
20115,3
20116,4
20117,3
20118,1
20119,4
20120,1
20121,4
20122,4
20123,3
20124,3
20125,1
20126,4
20127,3
20128,3
20129,4
20130,3
20131,1
20132,4
20133,3
20134,3
20135,3
20136,2
20137,4
20138,3
20139,2
20140,4
20141,3
20142,1
20143,3
20144,3
20145,3
20146,2
20147,3
20148,3
20149,1
20150,3
20151,4
20152,3
20153,2
20154,3
20155,4
20156,4
20157,3
20158,1
20159,3
20160,3
20161,1
20162,3
20163,3
20164,3
20165,4
20166,4
20167,3
20168,3
20169,3
20170,4
20171,3
20172,3
20173,2
20174,4
20175,4
20176,4
20177,3
20178,3
20179,4
20180,4
20181,4
20182,3
20183,4
20184,4
20185,4
20186,2
20187,3
20188,3
20189,3
20190,4
20191,3
20192,4
20193,4
20194,3
20195,4
20196,3
20197,3
20198,4
20199,3
20200,2
20201,3
20202,4
20203,1
20204,3
20205,3
20206,3
20207,2
20208,3
20209,3
20210,3
20211,3
20212,4
20213,3
20214,3
20215,3
20216,1
20217,4
20218,3
20219,3
20220,3
20221,4
20222,4
20223,3
20224,3
20225,4
20226,3
20227,2
20228,1
20229,3
20230,4
20231,3
20232,4
20233,3
20234,3
20235,3
20236,1
20237,4
20238,2
20239,3
20240,4
20241,4
20242,4
20243,4
20244,1
20245,3
20246,2
20247,1
20248,2
20249,3
20250,4
20251,3
20252,2
20253,4
20254,4
20255,2
20256,3
20257,4
20258,2
20259,3
20260,3
20261,4
20262,2
20263,3
20264,3
20265,3
20266,2
20267,2
20268,3
20269,4
20270,4
20271,3
20272,3
20273,4
20274,4
20275,3
20276,3
20277,1
20278,1
20279,3
20280,4
20281,2
20282,4
20283,1
20284,4
20285,3
20286,3
20287,3
20288,3
20289,3
20290,3
20291,4
20292,3
20293,4
20294,3
20295,3
20296,3
20297,3
20298,3
20299,1
20300,3
20301,3
20302,3
20303,4
20304,3
20305,4
20306,3
20307,1
20308,1
20309,1
20310,4
20311,1
20312,2
20313,2
20314,3
20315,3
20316,3
20317,4
20318,4
20319,3
20320,1
20321,3
20322,3
20323,4
20324,4
20325,2
20326,3
20327,3
20328,4
20329,2
20330,4
20331,3
20332,3
20333,4
20334,4
20335,3
20336,2
20337,4
20338,3
20339,4
20340,3
20341,2
20342,3
20343,3
20344,3
20345,1
20346,3
20347,4
20348,3
20349,1
20350,3
20351,1
20352,1
20353,4
20354,3
20355,1
20356,3
20357,4
20358,2
20359,4
20360,3
20361,4
20362,2
20363,4
20364,3
20365,3
20366,4
20367,2
20368,4
20369,4
20370,3
20371,4
20372,4
20373,2
20374,2
20375,3
20376,3
20377,2
20378,3
20379,4
20380,4
20381,4
20382,1
20383,4
20384,3
20385,3
20386,4
20387,3
20388,4
20389,4
20390,3
20391,4
20392,3
20393,3
20394,3
20395,4
20396,4
20397,4
20398,3
20399,4
20400,3
20401,3
20402,1
20403,4
20404,4
20405,2
20406,2
20407,2
20408,3
20409,3
20410,4
20411,3
20412,3
20413,4
20414,3
20415,3
20416,3
20417,3
20418,1
20419,1
20420,3
20421,2
20422,4
20423,4
20424,1
20425,3
20426,1
20427,1
20428,2
20429,2
20430,2
20431,2
20432,4
20433,3
20434,4
20435,3
20436,2
20437,2
20438,4
20439,1
20440,3
20441,3
20442,4
20443,3
20444,2
20445,3
20446,3
20447,4
20448,2
20449,1
20450,3
20451,4
20452,3
20453,2
20454,4
20455,1
20456,4
20457,2
20458,3
20459,4
20460,3
20461,4
20462,4
20463,1
20464,2
20465,2
20466,1
20467,2
20468,3
20469,4
20470,2
20471,2
20472,3
20473,2
20474,3
20475,3
20476,3
20477,4
20478,2
20479,3
20480,2
20481,3
20482,3
20483,3
20484,4
20485,3
20486,3
20487,4
20488,3
20489,3
20490,2
20491,3
20492,3
20493,3
20494,1
20495,4
20496,4
20497,3
20498,4
20499,4
20500,2
20501,4
20502,3
20503,1
20504,4
20505,1
20506,3
20507,3
20508,2
20509,3
20510,4
20511,4
20512,3
20513,3
20514,1
20515,4
20516,3
20517,1
20518,1
20519,4
20520,1
20521,3
20522,3
20523,4
20524,3
20525,3
20526,4
20527,4
20528,3
20529,3
20530,3
20531,4
20532,3
20533,3
20534,3
20535,1
20536,4
20537,4
20538,3
20539,4
20540,2
20541,4
20542,4
20543,2
20544,3
20545,3
20546,3
20547,4
20548,3
20549,3
20550,1
20551,1
20552,1
20553,4
20554,4
20555,4
20556,3
20557,3
20558,4
20559,3
20560,3
20561,4
20562,4
20563,3
20564,2
20565,1
20566,2
20567,4
20568,3
20569,1
20570,4
20571,4
20572,3
20573,3
20574,4
20575,3
20576,2
20577,4
20578,3
20579,1
20580,3
20581,4
20582,3
20583,2
20584,4
20585,4
20586,4
20587,4
20588,3
20589,1
20590,3
20591,2
20592,1
20593,4
20594,3
20595,4
20596,4
20597,3
20598,3
20599,1
20600,3
20601,2
20602,2
20603,4
20604,3
20605,4
20606,3
20607,4
20608,4
20609,4
20610,4
20611,2
20612,2
20613,3
20614,3
20615,3
20616,4
20617,3
20618,2
20619,3
20620,4
20621,3
20622,2
20623,2
20624,4
20625,3
20626,1
20627,3
20628,4
20629,3
20630,3
20631,3
20632,3
20633,3
20634,1
20635,3
20636,1
20637,3
20638,1
20639,1
20640,4
20641,3
20642,1
20643,4
20644,2
20645,1
20646,3
20647,1
20648,4
20649,4
20650,3
20651,4
20652,2
20653,3
20654,3
20655,4
20656,3
20657,4
20658,3
20659,3
20660,3
20661,3
20662,4
20663,2
20664,4
20665,4
20666,3
20667,4
20668,3
20669,4
20670,3
20671,3
20672,4
20673,3
20674,1
20675,4
20676,1
20677,1
20678,4
20679,4
20680,4
20681,4
20682,2
20683,3
20684,4
20685,4
20686,1
20687,4
20688,3
20689,4
20690,3
20691,4
20692,4
20693,3
20694,4
20695,4
20696,3
20697,4
20698,4
20699,4
20700,4
20701,3
20702,3
20703,4
20704,4
20705,4
20706,4
20707,1
20708,2
20709,3
20710,4
20711,4
20712,3
20713,4
20714,1
20715,3
20716,3
20717,4
20718,2
20719,2
20720,4
20721,3
20722,4
20723,2
20724,4
20725,2
20726,3
20727,3
20728,4
20729,4
20730,4
20731,4
20732,3
20733,4
20734,3
20735,3
20736,3
20737,3
20738,3
20739,3
20740,1
20741,1
20742,3
20743,3
20744,4
20745,4
20746,1
20747,4
20748,1
20749,4
20750,2
20751,3
20752,3
20753,3
20754,4
20755,3
20756,1
20757,3
20758,3
20759,3
20760,3
20761,4
20762,3
20763,4
20764,2
20765,2
20766,4
20767,4
20768,4
20769,4
20770,3
20771,4
20772,3
20773,3
20774,3
20775,2
20776,2
20777,4
20778,3
20779,4
20780,4
20781,4
20782,3
20783,4
20784,3
20785,3
20786,4
20787,3
20788,3
20789,3
20790,4
20791,4
20792,3
20793,3
20794,4
20795,1
20796,1
20797,2
20798,4
20799,2
20800,3
20801,2
20802,3
20803,4
20804,3
20805,4
20806,3
20807,4
20808,4
20809,1
20810,3
20811,3
20812,4
20813,2
20814,4
20815,4
20816,4
20817,3
20818,3
20819,2
20820,3
20821,4
20822,3
20823,4
20824,4
20825,3
20826,3
20827,3
20828,3
20829,3
20830,4
20831,1
20832,2
20833,3
20834,3
20835,3
20836,3
20837,3
20838,3
20839,3
20840,3
20841,1
20842,3
20843,3
20844,4
20845,4
20846,3
20847,4
20848,1
20849,3
20850,4
20851,3
20852,3
20853,4
20854,3
20855,4
20856,3
20857,4
