Id,label
20001,3
20002,4
20003,2
20004,4
20005,4
20006,3
20007,4
20008,3
20009,5
20010,5
20011,4
20012,4
20013,5
20014,3
20015,5
20016,2
20017,5
20018,4
20019,5
20020,5
20021,5
20022,5
20023,4
20024,4
20025,4
20026,4
20027,4
20028,2
20029,4
20030,3
20031,5
20032,2
20033,3
20034,5
20035,2
20036,5
20037,2
20038,5
20039,2
20040,2
20041,4
20042,2
20043,5
20044,5
20045,4
20046,2
20047,5
20048,5
20049,5
20050,4
20051,5
20052,4
20053,5
20054,4
20055,5
20056,4
20057,4
20058,3
20059,5
20060,5
20061,4
20062,4
20063,5
20064,2
20065,4
20066,4
20067,5
20068,5
20069,5
20070,4
20071,2
20072,5
20073,5
20074,3
20075,4
20076,3
20077,5
20078,5
20079,4
20080,4
20081,4
20082,5
20083,4
20084,5
20085,5
20086,5
20087,5
20088,4
20089,4
20090,4
20091,4
20092,4
20093,2
20094,3
20095,4
20096,3
20097,2
20098,5
20099,4
20100,4
20101,3
20102,4
20103,3
20104,4
20105,5
20106,4
20107,4
20108,5
20109,5
20110,5
20111,2
20112,4
20113,5
20114,4
20115,3
20116,5
20117,4
20118,2
20119,5
20120,2
20121,5
20122,5
20123,4
20124,4
20125,2
20126,4
20127,4
20128,2
20129,5
20130,5
20131,2
20132,5
20133,4
20134,4
20135,5
20136,4
20137,4
20138,4
20139,3
20140,5
20141,4
20142,2
20143,4
20144,4
20145,4
20146,4
20147,4
20148,4
20149,4
20150,4
20151,4
20152,4
20153,3
20154,2
20155,2
20156,5
20157,5
20158,2
20159,5
20160,4
20161,2
20162,4
20163,4
20164,4
20165,5
20166,4
20167,4
20168,4
20169,4
20170,5
20171,4
20172,4
20173,3
20174,5
20175,4
20176,5
20177,4
20178,3
20179,5
20180,5
20181,5
20182,4
20183,5
20184,4
20185,5
20186,4
20187,4
20188,4
20189,4
20190,5
20191,4
20192,5
20193,5
20194,4
20195,4
20196,4
20197,4
20198,5
20199,4
20200,3
20201,5
20202,5
20203,2
20204,2
20205,3
20206,4
20207,4
20208,4
20209,4
20210,5
20211,4
20212,4
20213,4
20214,5
20215,4
20216,2
20217,5
20218,4
20219,4
20220,5
20221,5
20222,5
20223,4
20224,2
20225,5
20226,4
20227,2
20228,2
20229,5
20230,5
20231,5
20232,5
20233,4
20234,4
20235,5
20236,3
20237,5
20238,4
20239,4
20240,5
20241,5
20242,5
20243,5
20244,2
20245,4
20246,2
20247,2
20248,3
20249,4
20250,4
20251,4
20252,4
20253,5
20254,5
20255,4
20256,4
20257,5
20258,4
20259,4
20260,4
20261,5
20262,4
20263,4
20264,5
20265,4
20266,3
20267,3
20268,4
20269,4
20270,4
20271,4
20272,4
20273,5
20274,5
20275,4
20276,4
20277,3
20278,2
20279,4
20280,5
20281,3
20282,5
20283,2
20284,5
20285,4
20286,3
20287,4
20288,4
20289,4
20290,4
20291,5
20292,4
20293,4
20294,3
20295,4
